datetime,vel,temperature,RH,equip_unit,s_r,loc,date_id
2023-05-22T14:06:13Z,0.2,30.6,67.9,VC-T,S,Window,220523
2023-05-22T14:07:13Z,0.15,30.6,67.8,VC-T,S,Window,220523
2023-05-22T14:08:13Z,0.23,30.6,67.9,VC-T,S,Window,220523
2023-05-22T14:09:13Z,0.22,30.7,67.5,VC-T,S,Window,220523
2023-05-22T14:10:13Z,0.15,30.7,67.6,VC-T,S,Window,220523
2023-05-22T14:11:13Z,0.2,30.7,67.1,VC-T,S,Window,220523
2023-05-22T14:12:13Z,0.12,30.7,67.5,VC-T,S,Window,220523
2023-05-22T14:13:13Z,0.19,30.8,67.6,VC-T,S,Window,220523
2023-05-22T14:14:13Z,0.26,30.8,67.6,VC-T,S,Window,220523
2023-05-22T14:15:13Z,0.24,30.8,67.5,VC-T,S,Window,220523
