datetime,equip_unit,vel,temp,rh
2023-05-22T14:53:00Z,T,0.28,31.3,65.4
2023-05-22T14:54:00Z,T,0.32,31.4,65.2
2023-05-22T14:55:00Z,T,0.25,31.3,64.9
2023-05-22T14:56:00Z,T,0.25,31.3,65
2023-05-22T14:57:00Z,T,0.27,31.2,64
2023-05-22T14:58:00Z,T,0.2,31.2,63.5
2023-05-22T14:59:00Z,T,0.34,31.2,62.9
2023-05-22T15:00:00Z,T,0.25,31.2,63.7
2023-05-22T15:01:00Z,T,0.19,31.2,64.2
2023-05-22T15:02:00Z,T,0.23,31.2,65.2
2023-05-22T15:03:00Z,T,0.14,31.2,65.9
2023-05-22T15:04:00Z,T,0.35,31.2,65
2023-05-22T15:05:00Z,T,0.42,31.1,64.2
2023-05-22T15:06:00Z,T,0.21,31.1,64.7
2023-05-22T15:07:00Z,T,0.14,31.1,64.7
2023-05-22T15:08:00Z,T,0.17,31.2,64.7
2023-05-22T15:09:00Z,T,0.19,31.2,64.9
2023-05-22T15:10:00Z,T,0.22,31.2,65.3
2023-05-22T15:11:00Z,T,0.14,31.3,65.2
2023-05-22T15:12:00Z,T,0.24,31.3,65.1
2023-05-22T15:13:00Z,T,0.18,31.3,65.3
2023-05-22T15:14:00Z,T,0.16,31.4,64.9
2023-05-22T15:15:00Z,T,0.2,31.4,64.7
2023-05-22T15:16:00Z,T,0.2,31.4,65
2023-05-22T15:17:00Z,T,0.22,31.5,64.9
2023-05-22T15:18:00Z,T,0.11,31.6,64.8
2023-05-22T15:19:00Z,T,0.14,31.6,64.5
2023-05-22T15:20:00Z,T,0.22,31.5,65.2
2023-05-22T15:21:00Z,T,0.27,31.5,64.7
2023-05-22T15:22:00Z,T,0.19,31.4,64.3
2023-05-22T15:23:00Z,T,0.23,31.4,64.5
2023-05-22T15:24:00Z,T,0.3,31.4,64.6
2023-05-22T15:25:00Z,T,0.27,31.4,63.3
2023-05-22T15:26:00Z,T,0.17,31.4,63.5
2023-05-22T15:27:00Z,T,0.12,31.5,63.6
2023-05-22T15:28:00Z,T,0.18,31.5,63.9
2023-05-22T15:29:00Z,T,0.19,31.6,64
2023-05-22T15:30:00Z,T,0.23,31.6,64.2
2023-05-22T15:31:00Z,T,0.29,31.5,65.2
2023-05-22T15:32:00Z,T,0.27,31.4,65.4
2023-05-22T15:33:00Z,T,0.23,31.4,65.6
2023-05-22T15:34:00Z,T,0.2,31.5,65.4
